id,name,age,salary,hire_date,department,bonus,address,phone,email
1,Name_103,77.0,60000.0,2020-06-30,Marketing,7824.0,,,
2,Name_436,62.0,50000.0,,Marketing,5185.0,"Street 45, City 22",2967670323,email_290@example.com
3,Name_861,61.0,60000.0,2025-08-31,HR,9622.0,"Street 94, City 42",7944902302,email_195@example.com
4,Name_271,36.0,70000.0,2018-09-13,unknown,6711.0,"Street 58, City 50",1901840295,email_446@example.com
5,Name_107,78.0,60000.0,2023-08-02,IT,9848.0,"Street 76, City 8",8000228998,email_227@example.com
6,Name_72,35.0,60000.0,2016-12-14,IT,3009.0,,,
7,Name_701,73.0,60000.0,2024-04-28,Finance,5402.0,"Street 83, City 26",2442512853,email_539@example.com
8,Name_21,18.0,60000.0,2016-04-11,IT,7470.0,"Street 18, City 21",4506062227,email_631@example.com
9,Name_615,42.0,50000.0,2024-10-13,IT,5727.0,"Street 62, City 12",6406418258,email_404@example.com
10,Name_122,44.0,50000.0,2020-10-30,HR,,"Street 75, City 33",8730143579,email_895@example.com
11,Name_467,24.0,70000.0,2021-03-19,Finance,5830.0,"Street 64, City 15",2470856660,email_69@example.com
12,Name_215,61.0,60000.0,2021-07-21,IT,6531.0,"Street 27, City 41",6598716441,email_28@example.com
13,Name_331,59.0,70000.0,2017-08-29,IT,5846.0,"Street 71, City 44",5905285338,email_531@example.com
14,Name_459,46.0,60000.0,2024-05-13,unknown,3422.0,"Street 40, City 23",5826844214,email_822@example.com
15,Name_88,48.0,60000.0,2018-05-10,IT,3813.0,"Street 18, City 49",3819247054,email_123@example.com
16,Name_373,61.0,60000.0,2017-04-21,HR,7326.0,,,
17,Name_100,60.0,60000.0,2024-12-01,IT,6015.0,"Street 46, City 24",6571322853,email_167@example.com
18,Name_872,53.0,60000.0,2017-12-16,IT,9400.0,"Street 17, City 23",7013175782,email_733@example.com
19,Name_664,36.0,50000.0,2018-01-29,Marketing,3474.0,"Street 89, City 39",7678706006,email_104@example.com
20,Name_131,23.0,70000.0,2016-12-08,IT,5411.0,"Street 4, City 7",5685708687,email_9@example.com
21,Name_662,42.0,60000.0,2024-01-07,Finance,2646.0,,,
22,Name_309,48.0,70000.0,2020-02-23,Marketing,,"Street 72, City 3",7301503177,email_124@example.com
23,Name_770,26.0,60000.0,2020-05-05,Finance,7133.0,"Street 100, City 46",2628518722,email_740@example.com
24,Name_344,37.0,70000.0,2024-10-27,Finance,7836.0,"Street 4, City 45",6996277119,email_775@example.com
25,Name_492,27.0,60000.0,2017-09-03,HR,6275.0,"Street 33, City 15",3916057245,email_605@example.com
26,Name_414,54.0,60000.0,2023-06-20,IT,1374.0,,,
27,Name_806,44.0,60000.0,2017-12-19,Finance,5712.0,"Street 99, City 34",9964471864,email_945@example.com
28,Name_386,30.0,70000.0,,IT,6103.0,"Street 1, City 47",3998917872,email_225@example.com
29,Name_192,58.0,70000.0,2016-02-27,IT,8089.0,"Street 93, City 2",6759920192,email_170@example.com
30,Name_956,19.0,60000.0,2016-06-02,HR,,"Street 39, City 30",5039568984,email_312@example.com
31,Name_277,67.0,70000.0,2021-08-01,HR,4695.0,"Street 72, City 1",7217861170,email_795@example.com
32,Name_161,38.0,50000.0,2018-04-03,Finance,9632.0,"Street 41, City 33",5512415143,email_93@example.com
33,Name_460,50.0,70000.0,2019-06-13,Finance,,"Street 9, City 37",2683288100,email_240@example.com
34,Name_314,41.0,60000.0,2024-03-11,Marketing,3158.0,"Street 46, City 45",6935813214,email_13@example.com
35,Name_22,70.0,50000.0,2019-11-28,IT,4438.0,"Street 48, City 46",5910488901,email_79@example.com
36,Name_253,61.0,50000.0,2018-03-23,IT,9599.0,"Street 69, City 38",4722263376,email_284@example.com
37,Name_748,59.0,70000.0,2021-10-06,HR,,"Street 54, City 13",6468827188,email_907@example.com
