id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2020-06-30,,Marketing,7824.0
2,Name_436,62.0,50000,,"{""address"": ""Street 45, City 22"", ""phone"": ""2967670323"", ""email"": ""email_290@example.com""}",Marketing,5185.0
3,Name_861,61.0,60000,2025-08-31,"{""address"": ""Street 94, City 42"", ""phone"": ""7944902302"", ""email"": ""email_195@example.com""}",HR,9622.0
4,Name_271,36.0,70000,2018-09-13,"{""address"": ""Street 58, City 50"", ""phone"": ""1901840295"", ""email"": ""email_446@example.com""}",,6711.0
5,Name_107,78.0,60000,2023-08-02,"{""address"": ""Street 76, City 8"", ""phone"": ""8000228998"", ""email"": ""email_227@example.com""}",IT,9848.0
6,Name_72,35.0,,2016-12-14,,IT,3009.0
7,Name_701,73.0,60000,2024-04-28,"{""address"": ""Street 83, City 26"", ""phone"": ""2442512853"", ""email"": ""email_539@example.com""}",Finance,5402.0
8,Name_21,18.0,60000,2016-04-11,"{""address"": ""Street 18, City 21"", ""phone"": ""4506062227"", ""email"": ""email_631@example.com""}",IT,7470.0
9,Name_615,42.0,50000,2024-10-13,"{""address"": ""Street 62, City 12"", ""phone"": ""6406418258"", ""email"": ""email_404@example.com""}",IT,5727.0
10,Name_122,44.0,50000,2020-10-30,"{""address"": ""Street 75, City 33"", ""phone"": ""8730143579"", ""email"": ""email_895@example.com""}",HR,
11,Name_467,24.0,70000,2021-03-19,"{""address"": ""Street 64, City 15"", ""phone"": ""2470856660"", ""email"": ""email_69@example.com""}",Finance,5830.0
12,Name_215,61.0,,2021-07-21,"{""address"": ""Street 27, City 41"", ""phone"": ""6598716441"", ""email"": ""email_28@example.com""}",IT,6531.0
13,Name_331,59.0,70000,2017-08-29,"{""address"": ""Street 71, City 44"", ""phone"": ""5905285338"", ""email"": ""email_531@example.com""}",IT,5846.0
14,Name_459,46.0,,2024-05-13,"{""address"": ""Street 40, City 23"", ""phone"": ""5826844214"", ""email"": ""email_822@example.com""}",,3422.0
15,Name_88,48.0,,2018-05-10,"{""address"": ""Street 18, City 49"", ""phone"": ""3819247054"", ""email"": ""email_123@example.com""}",IT,3813.0
16,Name_373,61.0,,2017-04-21,,HR,7326.0
17,Name_100,60.0,60000,2024-12-01,"{""address"": ""Street 46, City 24"", ""phone"": ""6571322853"", ""email"": ""email_167@example.com""}",IT,6015.0
18,Name_872,53.0,60000,2017-12-16,"{""address"": ""Street 17, City 23"", ""phone"": ""7013175782"", ""email"": ""email_733@example.com""}",IT,9400.0
19,Name_664,36.0,50000,2018-01-29,"{""address"": ""Street 89, City 39"", ""phone"": ""7678706006"", ""email"": ""email_104@example.com""}",Marketing,3474.0
20,Name_131,23.0,70000,2016-12-08,"{""address"": ""Street 4, City 7"", ""phone"": ""5685708687"", ""email"": ""email_9@example.com""}",IT,5411.0
21,Name_662,42.0,60000,2024-01-07,,Finance,2646.0
22,Name_309,48.0,70000,2020-02-23,"{""address"": ""Street 72, City 3"", ""phone"": ""7301503177"", ""email"": ""email_124@example.com""}",Marketing,
23,Name_770,26.0,60000,2020-05-05,"{""address"": ""Street 100, City 46"", ""phone"": ""2628518722"", ""email"": ""email_740@example.com""}",Finance,7133.0
24,Name_344,37.0,70000,2024-10-27,"{""address"": ""Street 4, City 45"", ""phone"": ""6996277119"", ""email"": ""email_775@example.com""}",Finance,7836.0
25,Name_492,27.0,,2017-09-03,"{""address"": ""Street 33, City 15"", ""phone"": ""3916057245"", ""email"": ""email_605@example.com""}",HR,6275.0
26,Name_414,54.0,,2023-06-20,,IT,1374.0
27,Name_806,44.0,60000,2017-12-19,"{""address"": ""Street 99, City 34"", ""phone"": ""9964471864"", ""email"": ""email_945@example.com""}",Finance,5712.0
28,Name_386,30.0,70000,,"{""address"": ""Street 1, City 47"", ""phone"": ""3998917872"", ""email"": ""email_225@example.com""}",IT,6103.0
29,Name_192,58.0,70000,2016-02-27,"{""address"": ""Street 93, City 2"", ""phone"": ""6759920192"", ""email"": ""email_170@example.com""}",IT,8089.0
30,Name_956,19.0,,2016-06-02,"{""address"": ""Street 39, City 30"", ""phone"": ""5039568984"", ""email"": ""email_312@example.com""}",HR,
31,Name_277,67.0,70000,2021-08-01,"{""address"": ""Street 72, City 1"", ""phone"": ""7217861170"", ""email"": ""email_795@example.com""}",HR,4695.0
